CustomerID,Age,Gender,Income,SpendingScore,PurchaseFrequency,Region
1,23,Male,25000,60,12,Urban
2,45,Female,54000,35,5,Rural
3,34,Male,48000,70,15,Urban
4,25,Female,32000,55,10,Semi-Urban
5,52,Male,65000,20,4,Rural
6,41,Female,72000,30,6,Urban
7,29,Male,58000,75,18,Urban
8,33,Female,45000,65,14,Semi-Urban
9,48,Male,80000,25,5,Rural
10,36,Female,52000,50,11,Urban
11,27,Male,30000,68,13,Semi-Urban
12,39,Female,61000,40,7,Urban
13,50,Male,70000,22,3,Rural
14,22,Female,27000,80,20,Urban
15,31,Male,49000,60,12,Semi-Urban
16,44,Female,56000,38,6,Rural
17,28,Male,41000,72,16,Urban
18,35,Female,53000,48,10,Semi-Urban
19,47,Male,76000,28,5,Rural
20,30,Female,47000,66,14,Urban
21,26,Male,31000,69,13,Semi-Urban
22,42,Female,68000,34,6,Rural
23,38,Male,59000,52,11,Urban
24,24,Female,28000,77,18,Semi-Urban
25,49,Male,82000,24,4,Rural
26,37,Female,51000,49,9,Urban
27,32,Male,46000,63,12,Semi-Urban
28,43,Female,67000,36,7,Rural
29,29,Male,42000,74,17,Urban
30,34,Female,48000,58,11,Semi-Urban
31,51,Male,79000,21,3,Rural
32,23,Female,26000,82,19,Urban
33,40,Male,62000,42,8,Semi-Urban
34,28,Female,39000,70,15,Urban
35,46,Male,75000,27,5,Rural
36,33,Female,47000,61,12,Semi-Urban
37,25,Male,34000,73,16,Urban
38,41,Female,60000,39,7,Rural
39,36,Male,52000,54,11,Urban
40,30,Female,45000,67,14,Semi-Urban
41,27,Male,31000,71,15,Urban
42,44,Female,69000,33,6,Rural
43,35,Male,55000,57,10,Semi-Urban
44,22,Female,24000,85,21,Urban
45,48,Male,81000,23,4,Rural
46,39,Female,58000,45,9,Urban
47,31,Male,47000,64,13,Semi-Urban
48,43,Female,66000,37,7,Rural
49,29,Male,42000,76,18,Urban
50,34,Female,50000,59,12,Semi-Urban
51,50,Male,78000,26,5,Rural
52,24,Female,27000,81,20,Urban
53,41,Male,63000,41,8,Semi-Urban
54,28,Female,39000,69,15,Urban
55,45,Male,74000,29,6,Rural
56,33,Female,46000,62,13,Semi-Urban
57,26,Male,32000,74,17,Urban
58,40,Female,60000,38,7,Rural
59,36,Male,52000,53,10,Urban
60,30,Female,45000,66,14,Semi-Urban
61,27,Male,31000,70,15,Urban
62,44,Female,69000,34,6,Rural
63,35,Male,55000,56,10,Semi-Urban
64,22,Female,24000,84,21,Urban
65,48,Male,81000,22,4,Rural
66,39,Female,58000,44,9,Urban
67,31,Male,47000,63,12,Semi-Urban
68,43,Female,66000,36,7,Rural
69,29,Male,42000,75,17,Urban
70,34,Female,50000,58,11,Semi-Urban
71,50,Male,78000,25,5,Rural
72,24,Female,27000,80,20,Urban
73,41,Male,63000,40,8,Semi-Urban
74,28,Female,39000,68,14,Urban
75,45,Male,74000,28,6,Rural
76,33,Female,46000,61,12,Semi-Urban
77,26,Male,32000,73,16,Urban
78,40,Female,60000,37,7,Rural
79,36,Male,52000,52,10,Urban
80,30,Female,45000,65,13,Semi-Urban
81,27,Male,31000,69,14,Urban
82,44,Female,69000,32,6,Rural
83,35,Male,55000,55,10,Semi-Urban
84,22,Female,24000,83,20,Urban
85,48,Male,81000,21,4,Rural
86,39,Female,58000,43,9,Urban
87,31,Male,47000,62,12,Semi-Urban
88,43,Female,66000,35,7,Rural
89,29,Male,42000,74,17,Urban
90,34,Female,50000,57,11,Semi-Urban
91,50,Male,78000,24,5,Rural
92,24,Female,27000,79,19,Urban
93,41,Male,63000,39,8,Semi-Urban
94,28,Female,39000,67,14,Urban
95,45,Male,74000,27,6,Rural
96,33,Female,46000,60,12,Semi-Urban
97,26,Male,32000,72,16,Urban
98,40,Female,60000,36,7,Rural
99,36,Male,52000,51,10,Urban
100,30,Female,45000,64,13,Semi-Urban
